Questions,Answers
What is 'Adaptive in noise control?,"Adaptive Mode monitors the noisiness of your environment and adjusts the noise cancellation accordingly, for the optimum audio experience."
What is Ultra Bass?,"CMF Buds 2 series feature Ultra Bass Technology. The algorithm dynamically detects low-frequency signals in music, enhancing the perception of low frequencies in real time to deliver a more powerful and dynamic bass experience. Users can also dynamically adjust the low-frequency intensity based on their listening preferences in the Nothing X app, defining their own high-definition bass experience. Additional options available in the Nothing X app."
What do the colours on the charging case mean?,"Charging: red light steady on
Fully charged: white light steady on

Pairing: white light flashing

Battery status:
Battery drained: no light
Battery <30%: red light on for 3 seconds
Battery ≥30%: white light on for 3 seconds

Factory reset: press and hold the battery case button for 10 seconds. The red light will flash 3 times to indicate a successful reset."
Can I use just one of the earbuds?,"Once the CMF earbuds is paired with your device, you can use a single earbud. Please note, the initial pairing can only be done with both earbuds."
How many devices can CMF earbuds be paired with？,CMF Buds 2 series can store records for up to 8 devices at maximum capacity.
Do the earbuds charge properly when the charging case is low on battery?,"The earbuds charge until the charging case falls below 1% battery. However, when the charging case has nearly depleted, the indicator LED won't turn on, and the charging case button won't respond. Please recharge the charging case promptly in this case."
How long does it take for CMF earbuds to power off automatically?,"When the earbuds are in an unconnected and unworn state, they will enter an auto power-off mode after 60 minutes (this duration may vary between products). To reactivate them, you need to manually place the earbuds back into the charging case.

If the earbuds remain idle after being fully charged, they will enter a fully charged power-off state after 2 minutes."
What's the battery life of CMF Buds 2？,"AAC:
- Playback with ANC off: 
  - up to 55 hours with case
  - up to 13.5 hours with buds only
- Playback with ANC on / Transparency Mode:
  - up to 32 hours with case
  - up to 7.5 hours with buds only

Talk Time:
- Talk time with ANC off:
  - 35 hours with case
  - 8.5 hours with buds only
- Talk time with ANC on / Transparency Mode:
  - 30 hours with case
  - 7 hours with buds only

Test Conditions**: Measured under AAC mode at 50% volume. Charging and battery tests are based on internal results from Nothing’s labs (25°C or 77°F). Actual battery life may vary depending on volume, frequency, output source, environmental interference, product features used, and usage habits. Actual experience will depend on individual use."
Does CMF Buds 2 support fast charging?,"Yes, CMF Buds 2 supports fast charging. With a 10-minute charge, the earbuds can be used continuously for 4 hours with ANC mode off. The charging case provides an additional 3.5 hours of battery life (7.5 hours for earbuds and case).

With ANC mode on, the earbuds can be used for 2.4 hours continuously. The charging case offers an additional 1.6 hours of battery life (4 hours for earbuds and case).

Note: the battery life was tested at the Nothing laboratories at a temperature of 25℃, with the earbuds and charging case fully charged, AAC music playback at 50% volume and other features at default settings. The actual result may differ based on device settings, environment, usage and other factors."
Does CMF Buds 2 support wireless charging?,"No, it doesn't support wireless charging."
What's the battery capacity of CMF Buds 2?,Each earbud has a 53 mAh battery and the case has a 460 mAh battery.
Does CMF Buds 2 support Dual Connection?,"Yes, it supports dual connection.

Note: once the device connections have been established, you can select or switch devices in the dual connection settings via the Nothing X App."
Does CMF Buds 2 support ANC?,"Yes, CMF Buds 2 supports Active Noise Cancellation (ANC) up to 48dB."
What is Spatial Audio Effect?,"Spatial Audio Effect is built based on the Head-Related Transfer Function (HRTF) model. It creates cinematic-grade 3D spatial sound, providing a fully immersive listening experience with omni-directional sensation in the ear canal without limitations on audio sources, allowing users to enjoy a cinema-grade experience at any time. Please download the Nothing X app for configuration."
What is Dirac Opteo？,"CMF Buds 2 powered by Dirac Opteo
Dirac Opteo digitally enhances the sound in your earbuds, unlocking their full potential and providing an optimised listening experience based on patented correction technology.  
Leveraging years of insight from Dirac Live’s unique mixed-phase impulse response correction, Opteo uses advanced measurement-based correction technology to remove any unintended resonances or sound colourations, maximising the acoustic performance of the headphones. It not only provides you with high-definition sound but also makes the vocals richer and the bass deeper."
What is CMF Buds 2 made of?,"Plastic casing: CMF Buds 2 feature a high-quality plastic casing with excellent UV resistance and impact durability.
Silicone ear tips: provide a comfortable and secure fit.
Stainless steel hinges: enhance durability and ensure a premium feel.
Plastic knobs: designed for durability and ease of use.
Charging case and earbuds: both are made of robust plastic material.

These materials ensure CMF Buds 2 are both durable and comfortable for everyday use."
Does CMF Buds 2 support custom EQ settings?,"Yes, CMF Buds 2 supports custom EQ settings."
Which Bluetooth version does CMF Buds 2 use?,Bluetooth 5.4
How many equalisers does CMF Buds 2 have?,"CMF Buds 2 are designed to provide a high-quality listening experience tailored to different audio preferences. The earbuds offer six equaliser presets:

1. DIRAC OPTEO
2. POP
3. ROCK
4. CLASSICAL
5. ELECTRONIC
6. ENHANCE VOCALS

Additionally, there is a Custom option that allows users to set the equaliser according to their own preferences.

More options are available in the Nothing X app."
What devices are compatible with CMF Buds 2?,"Android 6.0 and above
iOS 13 and above"
Does CMF Buds 2 support Google Fast Pair?,"Yes, Google Fast Pair is supported."
Does CMF Buds 2 support Microsoft Swift Pair?,"Yes, Microsoft Swift Pair is supported."
What audio formats does CMF Buds 2 support?,"AAC, SBC"
What is the dial on the charging case for?,The lanyard allows you to carry the charging case handsfree. Simply expose the lanyard hole via the rotating dial.
