Questions,Anwsers
How do I charge the Neckband Pro?,"To charge, connect neckband to a power supply (5V 1A) using a power cable. If the indicator light of the Neckband Pro is red, the earphones are charging. If it turns white, the earphones are fully charged."
Does the Neckband Pro support LE Audio？,"No, the Neckband Pro doesn't support this feature."
What audio formats are supported by the earphone?,The Neckband Pro support AAC and SBC.
Does the Neckband Pro support Microsoft Swift Pair？,"Yes, the Neckband Pro support this feature."
Does the Neckband Pro support Google Fast Pair?,"Yes, the Neckband Pro support this feature."
Does the Neckband Pro support environmental adaptive ANC (Active Noise Cancellation)？,"Yes, the Necklace Pro supports this feature. Please select Noise control > Noise cancellation in the Nothing X app and adjust the mode to Adaptive to activate environmental adaptive ANC. In this mode, the earphones will automatically detect the ambient noise level and adjust the depth of noise cancellation accordingly. Additional options available in the Nothing X app."
What is Ultra Bass？,"The Neckband Pro features Ultra Bass Technology. The algorithm dynamically detects low-frequency signals in music, enhancing the perception of bass in real time. It maintains high-quality audio while delivering a more powerful and dynamic low-frequency experience. Users can also customise the dynamic bass intensity according to their audio preferences within the Nothing X app. Additional options available in the Nothing X app."
What devices are compatible with the Neckband Pro?,Android 5.1 and above iOS 13 and above
What is ENC?,ENC stands for Environmental Noise Cancellation. It's specially tuned to remove unwanted background noise while using the microphone for calls. ENC ensures others won't hear your background noise when you're speaking.
How many Equalizer presets does the Neckband Pro have?,"The Neckband Pro comes with four built-in sound profiles: Balanced, More Bass, More Treble and Voice. It also supports customisition, allowing users to personalise their audio preferences according to their liking. Please download the Nothing X app for configuration."
What is Spatial Audio Effect?,"Spatial Audio Effect is built based on the Head-Related Transfer Function (HRTF) model. The CMF Spatial Audio Effect algorithm creates cinematic-grade 3D spatial sound, providing a fully immersive listening experience with omni-directional sensation in the ear canal without limitations on audio sources, allowing users to enjoy a cinema-grade experience at any time. Please download the Nothing X app for configuration."
Which Bluetooth version does the Neckband Pro use?,It's Bluetooth 5.3.
How long does the earphone take to automatically power off when inactive?,"When the earphones are in an unconnected and undetected state without being worn, they will enter automatic power-off mode after 120 minutes of inactivity. Any interaction such as pressing function button/rotate Smart Dial or reactivating with the magnetic switch during this period will interrupt and reset the timer."
Does the Neckband Pro support customisable EQ (Equalizer) settings?,"Yes, the Neckband Pro supports this feature. Please download the Nothing X app for configuration."
What is Ultra Bass?,"The Neckband Pro features Ultra Bass Technology. The algorithm dynamically detects low-frequency signals in music, enhancing the perception of low frequencies in real time to deliver a more powerful and dynamic bass experience. Users can also dynamically adjust the low-frequency intensity based on their listening preferences in the Nothing X app, defining their own high-definition bass experience. Additional options available in the Nothing X app."
How many devices can the earphone connect to simultaneously at maximum capacity?,The earphones can store records for up to 8 devices at maximum capacity.
What is the body of the Neckband Pro made of?,"The wired controller and battery box feature a plastic casing, the ear tips are made of silicone, the rotating button(Smart Dial) is crafted from aluminum alloy, and the neckband and headphone cable utilize TPE material. This design ensures durable resistance to UV and outstanding impact resistance, adhering to high standards in the realm of TWS (True Wireless Stereo) earphone components."
What do the light effects mean?,"Battery less than 10%: Red light flashes for 150 milliseconds every 5 seconds Charging (battery less than 95%): Red light Connected to charging cable, fully charged: White light Pairing: White light blinking Factory reset: Simultaneously press and hold Smart Dial and function button for 5 seconds. The reset is completed after indicator light flashes red for 2 seconds."
Does the Neckband Pro support ANC?,"The Neckband Pro support ANC, in specific, hybrid noise cancellation with a maximum depth of up to 50dB."
Is the Neckband Pro waterproof and/or dustproof?,"The headphone is rated IP55 (5 dustproof, 5 waterproof) based on the IEC 60529 testing standard, under controlled laboratory conditions. The dustproof and waterproof functions are not permanently guaranteed, and protective performance may decrease due to factors such as daily wear and tear or device aging. Avoid charging the Buds in damp conditions. The Neckband Pro is not designed for water sports such as swimming and should not be worn during showers. In the event of intense physical activity, heavy sweating, or exposure to moisture while you wear the Neckband Pro, wipe them clean with a soft, dry, lint-free cloth and store them properly. Do not attempt to expedite the drying process by using heat or compressed air on the Neckband Pro. Note: damage caused to the Neckband Pro by immersion in liquids is not covered under the warranty."
Does the Neckband Pro support dual connectivity?,"Yes, the Neckband Pro support this feature. To enable it, download and install the Nothing X app. Once it's been installed, navigate to the Device Settings page and configure the Dual Connection settings."
What is the battery capacity of the Neckband Pro?,220mAh
Does the Neckband Pro support wireless charging?,The Neckband Pro doesn't support wireless charging. Please charge the earphones with a Type-C cable.
Does the Neckband Pro support fast charging?,"With a 10-minute charge, the earphones play music back continuously for 18 hours. With ANC turned on, the earphones provide 11 hours of continuous music playback. Test conditions: Music playback in AAC mode at 50% volume. Charging and battery tests are based on experiments conducted by Nothing (at a temperature of 25°C or 77°F). Actual battery life is influenced by factors such as volume, frequency, output source, environmental interference, product features and user habits. Actual experience will depend on individual usage."
What is the battery life of the Neckband Pro?,"When in music mode with ANC mode turned off, the earphones play music back for up to 37 hours. When in music mode with ANC/transparency mode turned on, the earphones play music back for up to 23 hours. When in music mode with Transparency Mode on, the earphones play music back for up to 22 hours. When in call mode with ANC turned off, the earphones can be used continuously for up to 20.5 hours. When in call mode with ANC turned on, the earphones can be used continuously for up to 18.5 hours. When in call mode with Transparency Mode on, the earphones can be used continuously for up to 19 hours. Testing conditions: AAC mode, music playback at 50% volume. Charging and battery tests are based on testing conducted by Nothing (at a temperature of 25°C or 77°F). Actual battery life depends on factors such as volume, frequency, output source, environmental interference, product features and usage habits. Actual experience will vary based on individual usage."
